Customer_ID,Customer_Segment,Age_Group
C00001,Regular,35-44
C00002,Loyal,25-34
C00003,Regular,25-34
C00004,Regular,35-44
C00005,New,45-54
C00006,New,25-34
C00007,New,25-34
C00008,Loyal,55+
C00009,Regular,25-34
C00010,Regular,18-24
C00011,New,35-44
C00012,Loyal,55+
C00013,Loyal,45-54
C00014,New,35-44
C00015,New,25-34
C00016,New,45-54
C00017,New,25-34
C00018,Regular,45-54
C00019,Regular,25-34
C00020,New,18-24
C00021,Regular,25-34
C00022,New,25-34
C00023,New,35-44
C00024,Regular,55+
C00025,Regular,35-44
C00026,Regular,45-54
C00027,New,25-34
C00028,Regular,35-44
C00029,Regular,45-54
C00030,New,35-44
C00031,Regular,25-34
C00032,New,35-44
C00033,New,35-44
C00034,Loyal,25-34
C00035,Loyal,45-54
C00036,Loyal,55+
C00037,New,25-34
C00038,New,35-44
C00039,Regular,35-44
C00040,Regular,35-44
C00041,New,25-34
C00042,Regular,45-54
C00043,New,25-34
C00044,Loyal,18-24
C00045,New,45-54
C00046,Regular,35-44
C00047,New,45-54
C00048,Regular,18-24
C00049,Regular,18-24
C00050,New,55+
C00051,Loyal,18-24
C00052,Regular,45-54
C00053,Loyal,45-54
C00054,Loyal,35-44
C00055,Regular,18-24
C00056,Loyal,35-44
C00057,New,45-54
C00058,New,25-34
C00059,New,25-34
C00060,Regular,25-34
C00061,Regular,18-24
C00062,New,45-54
C00063,Loyal,45-54
C00064,Regular,55+
C00065,New,35-44
C00066,Regular,35-44
C00067,New,25-34
C00068,Loyal,35-44
C00069,New,35-44
C00070,Loyal,45-54
C00071,Regular,45-54
C00072,New,55+
C00073,New,45-54
C00074,Loyal,45-54
C00075,Regular,18-24
C00076,Regular,45-54
C00077,Regular,35-44
C00078,New,25-34
C00079,Regular,18-24
C00080,New,35-44
C00081,Loyal,25-34
C00082,Regular,25-34
C00083,Regular,35-44
C00084,New,45-54
C00085,New,45-54
C00086,Regular,25-34
C00087,Regular,25-34
C00088,Regular,25-34
C00089,Loyal,25-34
C00090,Regular,18-24
C00091,New,55+
C00092,Regular,25-34
C00093,Regular,18-24
C00094,Regular,25-34
C00095,Regular,25-34
C00096,Regular,25-34
C00097,Regular,18-24
C00098,Regular,55+
C00099,New,25-34
C00100,New,18-24
C00101,New,18-24
C00102,Regular,35-44
C00103,New,18-24
C00104,Regular,18-24
C00105,Loyal,25-34
C00106,New,35-44
C00107,Regular,18-24
C00108,Regular,25-34
C00109,New,25-34
C00110,New,18-24
C00111,New,25-34
C00112,New,18-24
C00113,Loyal,18-24
C00114,Loyal,25-34
C00115,Regular,25-34
C00116,Loyal,18-24
C00117,Loyal,25-34
C00118,New,45-54
C00119,Loyal,35-44
C00120,Regular,45-54
C00121,Loyal,45-54
C00122,Loyal,55+
C00123,New,35-44
C00124,New,35-44
C00125,New,25-34
C00126,Regular,18-24
C00127,Loyal,35-44
C00128,Loyal,55+
C00129,New,25-34
C00130,Regular,35-44
C00131,Regular,25-34
C00132,New,25-34
C00133,New,25-34
C00134,Regular,25-34
C00135,Loyal,25-34
C00136,Regular,35-44
C00137,Regular,45-54
C00138,Regular,45-54
C00139,Regular,25-34
C00140,Loyal,45-54
C00141,Loyal,25-34
C00142,New,25-34
C00143,Regular,35-44
C00144,New,25-34
C00145,New,18-24
C00146,New,25-34
C00147,Regular,35-44
C00148,Regular,25-34
C00149,New,35-44
C00150,New,35-44
C00151,Loyal,35-44
C00152,New,45-54
C00153,New,25-34
C00154,Regular,18-24
C00155,Loyal,25-34
C00156,New,25-34
C00157,Regular,35-44
C00158,Regular,18-24
C00159,New,25-34
C00160,Regular,35-44
C00161,Regular,35-44
C00162,Regular,35-44
C00163,Regular,45-54
C00164,Regular,35-44
C00165,New,35-44
C00166,Loyal,25-34
C00167,Regular,55+
C00168,New,25-34
C00169,New,25-34
C00170,Regular,25-34
C00171,Regular,35-44
C00172,New,45-54
C00173,Regular,18-24
C00174,New,18-24
C00175,Regular,45-54
C00176,New,45-54
C00177,Regular,25-34
C00178,Regular,25-34
C00179,Loyal,35-44
C00180,New,25-34
C00181,Regular,45-54
C00182,New,18-24
C00183,Loyal,18-24
C00184,Loyal,25-34
C00185,New,25-34
C00186,Regular,18-24
C00187,Loyal,18-24
C00188,Regular,35-44
C00189,Regular,18-24
C00190,New,45-54
C00191,New,25-34
C00192,Loyal,35-44
C00193,Loyal,25-34
C00194,Regular,25-34
C00195,Regular,25-34
C00196,Regular,25-34
C00197,Regular,35-44
C00198,Loyal,35-44
C00199,Loyal,35-44
C00200,Regular,25-34
