Order_ID,Order_Date,Order_Time,Customer_ID,Location_ID,Pizza_ID,Quantity,Unit_Price,Discount_Applied,Discount_Amount,Net_Sales,Order_Type,Payment_Method,Year,Month,Month_Name,Day_Name,Hour
O000001,2024-12-04,18:30:00,C15516,L005,P024,1,459.0,Yes,22.95,436.05,Delivery,UPI,2024,12,Dec,Wednesday,18
O000002,2024-12-15,12:45:00,C12138,L002,P023,1,359.0,No,0.0,359.0,Dine-in,Credit Card,2024,12,Dec,Sunday,12
O000003,2024-01-02,15:30:00,C11937,L004,P003,1,399.0,No,0.0,399.0,Dine-in,Cash,2024,1,Jan,Tuesday,15
O000003,2024-01-02,15:15:00,C11937,L004,P016,1,219.0,No,0.0,219.0,Dine-in,Cash,2024,1,Jan,Tuesday,15
O000003,2024-01-02,15:00:00,C11937,L004,P017,1,319.0,No,0.0,319.0,Dine-in,Cash,2024,1,Jan,Tuesday,15
O000004,2024-04-30,11:45:00,C11183,L014,P009,2,429.0,No,0.0,858.0,Delivery,UPI,2024,4,Apr,Tuesday,11
O000005,2024-11-08,16:45:00,C00781,L002,P024,1,459.0,No,0.0,459.0,Takeaway,Wallet,2024,11,Nov,Friday,16
O000005,2024-11-08,16:00:00,C00781,L002,P031,1,289.0,No,0.0,289.0,Takeaway,Wallet,2024,11,Nov,Friday,16
O000005,2024-11-08,16:45:00,C00781,L002,P019,1,279.0,No,0.0,279.0,Takeaway,Wallet,2024,11,Nov,Friday,16
O000006,2024-07-21,21:45:00,C00605,L003,P015,1,469.0,Yes,93.8,375.2,Delivery,Cash,2024,7,Jul,Sunday,21
O000006,2024-07-21,21:45:00,C00605,L003,P027,1,439.0,Yes,43.9,395.1,Delivery,Cash,2024,7,Jul,Sunday,21
O000007,2024-10-28,15:45:00,C16459,L005,P008,1,329.0,No,0.0,329.0,Delivery,UPI,2024,10,Oct,Monday,15
O000008,2024-11-13,19:15:00,C07965,L004,P011,1,339.0,No,0.0,339.0,Dine-in,UPI,2024,11,Nov,Wednesday,19
O000008,2024-11-13,19:00:00,C07965,L004,P022,1,259.0,No,0.0,259.0,Dine-in,UPI,2024,11,Nov,Wednesday,19
O000009,2024-06-16,20:00:00,C10702,L001,P032,2,389.0,Yes,38.9,739.1,Dine-in,Credit Card,2024,6,Jun,Sunday,20
O000009,2024-06-16,20:15:00,C10702,L001,P023,1,359.0,Yes,71.8,287.2,Dine-in,Credit Card,2024,6,Jun,Sunday,20
O000009,2024-06-16,20:15:00,C10702,L001,P010,1,239.0,Yes,23.9,215.1,Dine-in,Credit Card,2024,6,Jun,Sunday,20
O000009,2024-06-16,20:15:00,C10702,L001,P023,1,359.0,Yes,35.9,323.1,Dine-in,Credit Card,2024,6,Jun,Sunday,20
O000010,2024-05-16,19:00:00,C02344,L008,P023,1,359.0,No,0.0,359.0,Takeaway,Cash,2024,5,May,Thursday,19
O000011,2024-06-21,11:45:00,C00857,L004,P006,1,449.0,No,0.0,449.0,Delivery,Debit Card,2024,6,Jun,Friday,11
